The Input Data to the Controller and Out From Carla
x, y, yaw,v,t
-182.024384,53.009338,-1.539634,3.787688,12.325000
-182.021057,52.882820,-1.540112,3.799895,12.358000
-182.017578,52.755894,-1.540461,3.812163,12.391000
-182.013916,52.628559,-1.540661,3.824476,12.424000
-182.010193,52.500813,-1.540753,3.836834,12.457000
-182.006363,52.372665,-1.540779,3.849229,12.490000
-182.002502,52.244099,-1.540773,3.861665,12.523000
-181.998596,52.115120,-1.540754,3.874146,12.556000
-181.995285,51.985706,-1.541137,3.886441,12.589000
-181.992020,51.855881,-1.541595,3.898970,12.622000
-181.988602,51.725643,-1.541929,3.911517,12.655000
-181.985062,51.594990,-1.542118,3.924042,12.688000
-181.981384,51.463924,-1.542200,3.936531,12.721000
-181.977646,51.332439,-1.542219,3.948973,12.754000
-181.973862,51.200550,-1.542208,3.961396,12.787000
-181.970078,51.068245,-1.542185,3.973828,12.820000
-181.966812,50.935520,-1.542550,3.986069,12.853000
-181.963608,50.802372,-1.542991,3.998536,12.886000
-181.960266,50.668812,-1.543313,4.011065,12.919000
-181.956772,50.534843,-1.543491,4.023611,12.952000
-181.953186,50.400448,-1.543565,4.036180,12.985000
-181.949524,50.265644,-1.543578,4.048783,13.018000
-181.945862,50.130421,-1.543562,4.061423,13.051000
-181.942123,49.994770,-1.543537,4.074127,13.084000
-181.938934,49.858685,-1.543885,4.086716,13.117000
-181.935791,49.722172,-1.544311,4.099545,13.150000
-181.932541,49.585232,-1.544620,4.112461,13.183000
-181.929123,49.447865,-1.544789,4.125426,13.216000
-181.925598,49.310074,-1.544856,4.138421,13.249000
-181.922028,49.171841,-1.544863,4.151461,13.282000
-181.918427,49.033173,-1.544844,4.164552,13.315000
-181.914795,48.894070,-1.544817,4.177694,13.348000
-181.911682,48.754517,-1.545150,4.190721,13.381000
-181.908585,48.614521,-1.545560,4.203971,13.414000
-181.905411,48.474087,-1.545858,4.217283,13.447000
-181.902069,48.333206,-1.546018,4.230625,13.480000
-181.898636,48.191895,-1.546078,4.243999,13.513000
-181.895111,48.050125,-1.546079,4.257400,13.546000
-181.891571,47.907917,-1.546057,4.270819,13.579000
-181.888016,47.765266,-1.546029,4.284270,13.612000
