The Out Data from the Controller and In to Carla
throttle_output,brake_output,steer_output
0.437725,0.000000,-0.002539
0.439125,0.000000,-0.001238
0.439720,0.000000,-0.000439
0.440270,0.000000,0.000050
0.440791,0.000000,0.000337
0.441296,0.000000,-0.022676
0.442871,0.000000,-0.017548
0.443321,0.000000,-0.011620
0.443702,0.000000,-0.007073
0.444853,0.000000,-0.004002
0.445330,0.000000,-0.002067
0.446451,0.000000,-0.000885
0.446772,0.000000,-0.000187
0.447843,0.000000,0.000212
0.448119,0.000000,0.000428
0.449151,0.000000,-0.021427
0.449672,0.000000,-0.016508
0.450647,0.000000,-0.010737
0.451580,0.000000,-0.006344
0.451715,0.000000,-0.003425
0.452883,0.000000,-0.001629
0.453773,0.000000,-0.000581
0.453856,0.000000,0.000011
0.454697,0.000000,0.000338
0.455539,0.000000,0.000503
0.456367,0.000000,-0.020308
0.457432,0.000000,-0.015564
0.458183,0.000000,-0.009969
0.458870,0.000000,-0.005709
0.459533,0.000000,-0.002922
0.460601,0.000000,-0.001250
0.461212,0.000000,-0.000320
0.461787,0.000000,0.000187
0.462336,0.000000,0.000428
0.463647,0.000000,-0.019230
0.464395,0.000000,-0.014654
0.464840,0.000000,-0.009215
0.466010,0.000000,-0.005104
0.466383,0.000000,-0.002457
0.467310,0.000000,-0.000921
0.467636,0.000000,-0.000085
0.468719,0.000000,0.000322
0.469012,0.000000,0.000498
0.470063,0.000000,0.000576
0.470326,0.000000,-0.018253
0.471575,0.000000,-0.013857
0.472567,0.000000,-0.008578
0.473501,0.000000,-0.004584
0.473576,0.000000,-0.002058
0.474443,0.000000,-0.000637
0.475301,0.000000,0.000089
0.476138,0.000000,0.000414
0.476945,0.000000,0.000541
0.477720,0.000000,-0.017308
0.478669,0.000000,-0.013062
0.479355,0.000000,-0.007942
0.479984,0.000000,-0.004089
0.480695,0.000000,-0.001692
0.481280,0.000000,-0.000380
0.481844,0.000000,0.000259
0.482398,0.000000,0.000509
0.483722,0.000000,-0.016312
0.484440,0.000000,-0.012236
0.484915,0.000000,-0.007327
0.486122,0.000000,-0.003616
0.486531,0.000000,-0.001357
0.487160,0.000000,-0.000173
0.488292,0.000000,0.000367
0.488622,0.000000,0.000570
0.489697,0.000000,0.000609
0.490746,0.000000,-0.015485
0.491154,0.000000,-0.011610
0.492106,0.000000,-0.006829
0.493010,0.000000,-0.003234
0.493501,0.000000,-0.001087
0.494336,0.000000,0.000030
0.495144,0.000000,0.000478
0.495918,0.000000,0.000608
0.496659,0.000000,-0.014616
0.497545,0.000000,-0.010892
0.498249,0.000000,-0.006298
0.498940,0.000000,-0.002861
0.499409,0.000000,-0.000802
0.500146,0.000000,0.000191
0.501694,0.000000,0.000574
0.502483,0.000000,0.000645
0.503265,0.000000,-0.013810
0.504973,0.000000,-0.010275
0.505730,0.000000,-0.005845
0.506439,0.000000,-0.002530
0.507812,0.000000,-0.000595
0.508491,0.000000,0.000325
0.509920,0.000000,0.000636
0.511321,0.000000,0.000679
0.511897,0.000000,-0.013088
0.513339,0.000000,-0.009706
0.514595,0.000000,-0.005438
0.515009,0.000000,-0.002232
0.516196,0.000000,-0.000390
0.517324,0.000000,0.000441
0.518419,0.000000,0.000692
0.519473,0.000000,0.000687
0.520490,0.000000,-0.012415
0.521596,0.000000,-0.009172
0.522529,0.000000,-0.005061
0.523414,0.000000,-0.001965
0.524447,0.000000,-0.000213
0.525285,0.000000,0.000557
0.526103,0.000000,0.000733
0.527682,0.000000,0.000674
